ADU_index,ADU,essay_id,label,start_ind,end_ind,claim_type,ADU_text
T1,MajorClaim 503 575	we should attach more importance to cooperation during primary education,essay001,train,503,575,MajorClaim,we should attach more importance to cooperation during primary education
T2,MajorClaim 2154 2231	a more cooperative attitudes towards life is more profitable in one's success,essay001,train,2154,2231,MajorClaim,a more cooperative attitudes towards life is more profitable in one's success
T3,"Claim 591 714	through cooperation, children can learn about interpersonal skills which are significant in the future life of all students",essay001,train,591,714,Claim,"through cooperation, children can learn about interpersonal skills which are significant in the future life of all students"
T4,"Premise 716 851	What we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others",essay001,train,716,851,Premise,"What we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others"
T5,"Premise 853 1086	During the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred",essay001,train,853,1086,Premise,"During the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred"
T6,Premise 1088 1191	All of these skills help them to get on well with other people and will benefit them for the whole life,essay001,train,1088,1191,Premise,All of these skills help them to get on well with other people and will benefit them for the whole life
T7,Claim 1332 1376	competition makes the society more effective,essay001,train,1332,1376,Claim,competition makes the society more effective
T8,Premise 1212 1301	the significance of competition is that how to become more excellence to gain the victory,essay001,train,1212,1301,Premise,the significance of competition is that how to become more excellence to gain the victory
T9,"Premise 1387 1492	when we consider about the question that how to win the game, we always find that we need the cooperation",essay001,train,1387,1492,Premise,"when we consider about the question that how to win the game, we always find that we need the cooperation"
T10,"Premise 1549 1846	Take Olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care",essay001,train,1549,1846,Premise,"Take Olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care"
T11,"Claim 1927 1992	without the cooperation, there would be no victory of competition",essay001,train,1927,1992,Claim,"without the cooperation, there would be no victory of competition"
